Datum,Bokfört,Specifikation,Ort,Valuta,Utl. belopp,Belopp
2025-10-21,2025-10-22,PIZZERIA & REST,HJO,SEK,0,130.0
2025-10-19,2025-10-20,NORMAL SKÖVDE,SKOVDE,SEK,0,526.0
2025-10-19,2025-10-20,MAXI ICA STORMARKNAD S,SKOVDE,SEK,0,544.75
2025-10-17,2025-10-20,ICA SUPERMARKET HJO,HJO,SEK,0,69.0
2025-10-17,2025-10-20,HJOGOTTEN AB,HJO,SEK,0,108.69
2025-10-16,2025-10-17,PIZZERIA & REST,HJO,SEK,0,130.0
2025-10-15,2025-10-16,HEM OCH HOBBY,HJO,SEK,0,165.0
2025-10-13,2025-10-14,ICA SUPERMARKET HJO,HJO,SEK,0,264.86
2025-10-10,2025-10-13,OYUSUSHI,HJO,SEK,0,149.0
2025-10-09,2025-10-10,HEM OCH HOBBY,HJO,SEK,0,224.0
2025-10-07,2025-10-08,LANTKROGEN I HJO AB,HJO,SEK,0,135.0
2025-10-04,2025-10-06,SP LH COSMETICS AB,STOCKHOLM,SEK,0,327.8
2025-10-04,2025-10-06,VARA BADHUS,VARA,SEK,0,370.0
2025-09-27,2025-09-29,HEM OCH HOBBY,HJO,SEK,0,45.0
2025-09-27,2025-09-29,HEM OCH HOBBY,HJO,SEK,0,300.0
2025-09-26,2025-09-29,HEM OCH HOBBY,HJO,SEK,0,211.0
2025-09-20,2025-09-22,RYDE SWEDEN AB,ALINGSAS,SEK,0,20.0
2025-09-20,2025-09-22,RYDE SWEDEN AB,ALINGSAS,SEK,0,30.0
2025-09-20,2025-09-22,LOOMISP*NAMFON THAI RE,GOTEBORG,SEK,0,156.0
2025-09-20,2025-09-22,LOOMISP*NAMFON THAI RE,GOTEBORG,SEK,0,88.0
2025-09-20,2025-09-22,LOOMISP*NAMFON THAI RE,GOTEBORG,SEK,0,88.0
2025-09-20,2025-09-22,MASALA KITCHEN GAMLEST,GOTEBORG,SEK,0,196.0
2025-09-19,2025-09-22,HEM OCH HOBBY,HJO,SEK,0,298.0
2025-09-18,2025-09-19,HEM OCH HOBBY,HJO,SEK,0,360.0
2025-09-17,2025-09-18,CASTELLO SUSHI,HJO,SEK,0,139.0
2025-09-12,2025-09-15,DAMASKUS MINILIVS,HJO,SEK,0,30.0
2025-09-09,2025-09-10,COOP HJO,HJO,SEK,0,165.85
2025-09-02,2025-09-03,LANTKROGEN I HJO AB,HJO,SEK,0,135.0
2025-08-31,2025-09-01,OYUSUSHI,HJO,SEK,0,145.0
